"","subject","activity","variable","average"
"1","2","WALKING","tBodyAcc-mean()-X",0.273113115788079
"2","4","WALKING","tBodyAcc-mean()-X",0.277034464752577
"3","4","WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.269685855146341
"4","9","WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.270313841621528
"5","10","WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.2792260805
"6","10","WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.276238831213675
"7","12","WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.272145794677419
"8","12","SITTING","tBodyAcc-mean()-X",0.275639357761194
"9","13","SITTING","tBodyAcc-mean()-X",0.275895876198777
"10","18","SITTING","tBodyAcc-mean()-X",0.27795824
"11","18","STANDING","tBodyAcc-mean()-X",0.276177377784431
"12","20","STANDING","tBodyAcc-mean()-X",0.268595205636364
"13","20","LAYING","tBodyAcc-mean()-X",0.268210689679487
"14","24","LAYING","tBodyAcc-mean()-X",0.276767046391076
"15","1","WALKING","tBodyAcc-mean()-X",0.265696920582133
"16","3","WALKING","tBodyAcc-mean()-X",0.273428719636364
"17","5","WALKING","tBodyAcc-mean()-X",0.279177960301324
"18","6","WALKING","tBodyAcc-mean()-X",0.269434151902542
"19","6","WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.280179098426966
"20","7","WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.270211697814935
"21","8","WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.270759063295374
"22","11","WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.27658531139557
"23","14","WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.274638681518987
"24","14","WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.268742494553279
"25","15","WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.27821340725
"26","16","WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.277887440374317
"27","17","WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.277950050208333
"28","17","SITTING","tBodyAcc-mean()-X",0.27344147274375
"29","19","SITTING","tBodyAcc-mean()-X",0.269723487105556
"30","21","SITTING","tBodyAcc-mean()-X",0.277466525522059
"31","22","SITTING","tBodyAcc-mean()-X",0.279241531908081
"32","22","STANDING","tBodyAcc-mean()-X",0.267565895829268
"33","23","STANDING","tBodyAcc-mean()-X",0.273493254730108
"34","25","STANDING","tBodyAcc-mean()-X",0.275301467772127
"35","26","STANDING","tBodyAcc-mean()-X",0.2730365808625
"36","27","STANDING","tBodyAcc-mean()-X",0.275223067435897
"37","27","LAYING","tBodyAcc-mean()-X",0.277798919328859
"38","28","LAYING","tBodyAcc-mean()-X",0.277532554764398
"39","29","LAYING","tBodyAcc-mean()-X",0.279111521944767
"40","30","LAYING","tBodyAcc-mean()-X",0.276305836721932
"41","2","WALKING","tBodyAcc-mean()-Y",-0.0191323183174835
"42","4","WALKING","tBodyAcc-mean()-Y",-0.0133496817746907
"43","4","WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0171085099442602
"44","9","WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0209466555412396
"45","10","WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0137410699333333
"46","10","WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0188857189162821
"47","12","WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0182299075608413
"48","12","SITTING","tBodyAcc-mean()-Y",-0.0184861388459702
"49","13","SITTING","tBodyAcc-mean()-Y",-0.0176504796070948
"50","18","SITTING","tBodyAcc-mean()-Y",-0.01729741093
"51","18","STANDING","tBodyAcc-mean()-Y",-0.0172818741561907
"52","20","STANDING","tBodyAcc-mean()-Y",-0.0192867074389394
"53","20","LAYING","tBodyAcc-mean()-Y",-0.0154394352991026
"54","24","LAYING","tBodyAcc-mean()-Y",-0.0176822460103885
"55","1","WALKING","tBodyAcc-mean()-Y",-0.0182981725176081
"56","3","WALKING","tBodyAcc-mean()-Y",-0.017856067384956
"57","5","WALKING","tBodyAcc-mean()-Y",-0.0154833455336192
"58","6","WALKING","tBodyAcc-mean()-Y",-0.0163911123936865
"59","6","WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0206949591117978
"60","7","WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0187904887668182
"61","8","WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0181894974688612
"62","11","WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0191272531933228
"63","14","WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0150740054405063
"64","14","WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0166371300659426
"65","15","WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.016464484771311
"66","16","WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0158567888309016
"67","17","WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0138932613754167
"68","17","SITTING","tBodyAcc-mean()-Y",-0.0180888559772813
"69","19","SITTING","tBodyAcc-mean()-Y",-0.0182031515710305
"70","21","SITTING","tBodyAcc-mean()-Y",-0.0176664578561765
"71","22","SITTING","tBodyAcc-mean()-Y",-0.0168623073762273
"72","22","STANDING","tBodyAcc-mean()-Y",-0.016771104312122
"73","23","STANDING","tBodyAcc-mean()-Y",-0.0195892587868279
"74","25","STANDING","tBodyAcc-mean()-Y",-0.0193221769314914
"75","26","STANDING","tBodyAcc-mean()-Y",-0.0161687277463495
"76","27","STANDING","tBodyAcc-mean()-Y",-0.0162554117217949
"77","27","LAYING","tBodyAcc-mean()-Y",-0.0169386590334393
"78","28","LAYING","tBodyAcc-mean()-Y",-0.0191721442063089
"79","29","LAYING","tBodyAcc-mean()-Y",-0.018471953048314
"80","30","LAYING","tBodyAcc-mean()-Y",-0.0175856077340209
"81","2","WALKING","tBodyAcc-mean()-Z",-0.115649958175497
"82","4","WALKING","tBodyAcc-mean()-Z",-0.105916135927835
"83","4","WALKING_UPSTAIRS","tBodyAcc-mean()-Z",-0.110053359325203
"84","9","WALKING_UPSTAIRS","tBodyAcc-mean()-Z",-0.101233826213889
"85","10","WALKING_UPSTAIRS","tBodyAcc-mean()-Z",-0.1082356298
"86","10","WALKING_DOWNSTAIRS","tBodyAcc-mean()-Z",-0.112087661002564
"87","12","WALKING_DOWNSTAIRS","tBodyAcc-mean()-Z",-0.105735506451613
"88","12","SITTING","tBodyAcc-mean()-Z",-0.107917262447761
"89","13","SITTING","tBodyAcc-mean()-Z",-0.109135285550765
"90","18","SITTING","tBodyAcc-mean()-Z",-0.110021546
"91","18","STANDING","tBodyAcc-mean()-Z",-0.107940757511976
"92","20","STANDING","tBodyAcc-mean()-Z",-0.111651090326263
"93","20","LAYING","tBodyAcc-mean()-Z",-0.103432062417949
"94","24","LAYING","tBodyAcc-mean()-Z",-0.107914503687664
"95","1","WALKING","tBodyAcc-mean()-Z",-0.10784573454611
"96","3","WALKING","tBodyAcc-mean()-Z",-0.106492632429097
"97","5","WALKING","tBodyAcc-mean()-Z",-0.105661736816887
"98","6","WALKING","tBodyAcc-mean()-Z",-0.117900692084746
"99","6","WALKING_UPSTAIRS","tBodyAcc-mean()-Z",-0.110940029325843
"100","7","WALKING_UPSTAIRS","tBodyAcc-mean()-Z",-0.112492375388312
"101","8","WALKING_UPSTAIRS","tBodyAcc-mean()-Z",-0.106809623683986
"102","11","WALKING_UPSTAIRS","tBodyAcc-mean()-Z",-0.108941761642405
"103","14","WALKING_UPSTAIRS","tBodyAcc-mean()-Z",-0.105264366677722
"104","14","WALKING_DOWNSTAIRS","tBodyAcc-mean()-Z",-0.0996007059877049
"105","15","WALKING_DOWNSTAIRS","tBodyAcc-mean()-Z",-0.112563587594512
"106","16","WALKING_DOWNSTAIRS","tBodyAcc-mean()-Z",-0.107263924445355
"107","17","WALKING_DOWNSTAIRS","tBodyAcc-mean()-Z",-0.109786077604167
"108","17","SITTING","tBodyAcc-mean()-Z",-0.109111919458969
"109","19","SITTING","tBodyAcc-mean()-Z",-0.118277180099383
"110","21","SITTING","tBodyAcc-mean()-Z",-0.10877848058848
"111","22","SITTING","tBodyAcc-mean()-Z",-0.108558951083333
"112","22","STANDING","tBodyAcc-mean()-Z",-0.108849744982114
"113","23","STANDING","tBodyAcc-mean()-Z",-0.109093982385242
"114","25","STANDING","tBodyAcc-mean()-Z",-0.10962903098044
"115","26","STANDING","tBodyAcc-mean()-Z",-0.107637894928571
"116","27","STANDING","tBodyAcc-mean()-Z",-0.105403810015385
"117","27","LAYING","tBodyAcc-mean()-Z",-0.112273368370134
"118","28","LAYING","tBodyAcc-mean()-Z",-0.109710873104188
"119","29","LAYING","tBodyAcc-mean()-Z",-0.108675612269477
"120","30","LAYING","tBodyAcc-mean()-Z",-0.10589355727859
"121","2","WALKING","tGravityAcc-mean()-X",0.660782866688741
"122","4","WALKING","tGravityAcc-mean()-X",0.731456509896907
"123","4","WALKING_UPSTAIRS","tGravityAcc-mean()-X",0.667377493902439
"124","9","WALKING_UPSTAIRS","tGravityAcc-mean()-X",0.670845545555556
"125","10","WALKING_UPSTAIRS","tGravityAcc-mean()-X",0.582637512166667
"126","10","WALKING_DOWNSTAIRS","tGravityAcc-mean()-X",0.658359119572649
"127","12","WALKING_DOWNSTAIRS","tGravityAcc-mean()-X",0.749117763666667
"128","12","SITTING","tGravityAcc-mean()-X",0.629964778955224
"129","13","SITTING","tGravityAcc-mean()-X",0.709996516908257
"130","18","SITTING","tGravityAcc-mean()-X",0.962581161666666
"131","18","STANDING","tGravityAcc-mean()-X",0.694792777095809
"132","20","STANDING","tGravityAcc-mean()-X",0.65724389919192
"133","20","LAYING","tGravityAcc-mean()-X",0.590974958467949
"134","24","LAYING","tGravityAcc-mean()-X",0.69498126808399
"135","1","WALKING","tGravityAcc-mean()-X",0.744867411573487
"136","3","WALKING","tGravityAcc-mean()-X",0.707814353343109
"137","5","WALKING","tGravityAcc-mean()-X",0.698153719072847
"138","6","WALKING","tGravityAcc-mean()-X",0.670506153601695
"139","6","WALKING_UPSTAIRS","tGravityAcc-mean()-X",0.736951892247191
"140","7","WALKING_UPSTAIRS","tGravityAcc-mean()-X",0.681289120844156
"141","8","WALKING_UPSTAIRS","tGravityAcc-mean()-X",0.647498175409253
"142","11","WALKING_UPSTAIRS","tGravityAcc-mean()-X",0.730526184936709
"143","14","WALKING_UPSTAIRS","tGravityAcc-mean()-X",0.599098975405063
"144","14","WALKING_DOWNSTAIRS","tGravityAcc-mean()-X",0.695710723688525
"145","15","WALKING_DOWNSTAIRS","tGravityAcc-mean()-X",0.688872511512195
"146","16","WALKING_DOWNSTAIRS","tGravityAcc-mean()-X",0.700906130308743
"147","17","WALKING_DOWNSTAIRS","tGravityAcc-mean()-X",0.901097859791666
"148","17","SITTING","tGravityAcc-mean()-X",0.668613344125001
"149","19","SITTING","tGravityAcc-mean()-X",0.475323016
"150","21","SITTING","tGravityAcc-mean()-X",0.645775957808823
"151","22","SITTING","tGravityAcc-mean()-X",0.675242930959596
"152","22","STANDING","tGravityAcc-mean()-X",0.503385126178862
"153","23","STANDING","tGravityAcc-mean()-X",0.662324737580645
"154","25","STANDING","tGravityAcc-mean()-X",0.672386622127139
"155","26","STANDING","tGravityAcc-mean()-X",0.615123534668367
"156","27","STANDING","tGravityAcc-mean()-X",0.788037331794872
"157","27","LAYING","tGravityAcc-mean()-X",0.585139591107383
"158","28","LAYING","tGravityAcc-mean()-X",0.62376789513089
"159","29","LAYING","tGravityAcc-mean()-X",0.683067625610465
"160","30","LAYING","tGravityAcc-mean()-X",0.696858200678851
"161","2","WALKING","tGravityAcc-mean()-Y",-0.147219886910411
"162","4","WALKING","tGravityAcc-mean()-Y",0.072347989306416
"163","4","WALKING_UPSTAIRS","tGravityAcc-mean()-Y",0.176064219895122
"164","9","WALKING_UPSTAIRS","tGravityAcc-mean()-Y",-0.0467446999509028
"165","10","WALKING_UPSTAIRS","tGravityAcc-mean()-Y",0.2814715215
"166","10","WALKING_DOWNSTAIRS","tGravityAcc-mean()-Y",-0.165177771367521
"167","12","WALKING_DOWNSTAIRS","tGravityAcc-mean()-Y",-0.0295853747510752
"168","12","SITTING","tGravityAcc-mean()-Y",0.112652596558955
"169","13","SITTING","tGravityAcc-mean()-Y",-0.042085810116208
"170","18","SITTING","tGravityAcc-mean()-Y",-0.180018835666667
"171","18","STANDING","tGravityAcc-mean()-Y",-0.00103018432634728
"172","20","STANDING","tGravityAcc-mean()-Y",-0.0686181655555556
"173","20","LAYING","tGravityAcc-mean()-Y",0.00243648291666664
"174","24","LAYING","tGravityAcc-mean()-Y",0.0729509702152231
"175","1","WALKING","tGravityAcc-mean()-Y",-0.0825562579855908
"176","3","WALKING","tGravityAcc-mean()-Y",-0.0260590480328739
"177","5","WALKING","tGravityAcc-mean()-Y",0.112313109736755
"178","6","WALKING","tGravityAcc-mean()-Y",0.0612321366461864
"179","6","WALKING_UPSTAIRS","tGravityAcc-mean()-Y",-0.103190808202247
"180","7","WALKING_UPSTAIRS","tGravityAcc-mean()-Y",-0.0420221452496753
"181","8","WALKING_UPSTAIRS","tGravityAcc-mean()-Y",0.0303211113118861
"182","11","WALKING_UPSTAIRS","tGravityAcc-mean()-Y",0.0527387028613925
"183","14","WALKING_UPSTAIRS","tGravityAcc-mean()-Y",0.0546109842746836
"184","14","WALKING_DOWNSTAIRS","tGravityAcc-mean()-Y",-0.165548427598361
"185","15","WALKING_DOWNSTAIRS","tGravityAcc-mean()-Y",0.102660491875
"186","16","WALKING_DOWNSTAIRS","tGravityAcc-mean()-Y",-0.0605235993797815
"187","17","WALKING_DOWNSTAIRS","tGravityAcc-mean()-Y",-0.17504772675
"188","17","SITTING","tGravityAcc-mean()-Y",0.01046225616875
"189","19","SITTING","tGravityAcc-mean()-Y",0.0964052626666666
"190","21","SITTING","tGravityAcc-mean()-Y",-0.0750963071446079
"191","22","SITTING","tGravityAcc-mean()-Y",0.0235808363131313
"192","22","STANDING","tGravityAcc-mean()-Y",0.0442736759186991
"193","23","STANDING","tGravityAcc-mean()-Y",0.0146209197354839
"194","25","STANDING","tGravityAcc-mean()-Y",0.0471601427530562
"195","26","STANDING","tGravityAcc-mean()-Y",0.10870478277551
"196","27","STANDING","tGravityAcc-mean()-Y",0.0657218505
"197","27","LAYING","tGravityAcc-mean()-Y",0.0234793061308725
"198","28","LAYING","tGravityAcc-mean()-Y",-0.14757775521466
"199","29","LAYING","tGravityAcc-mean()-Y",0.115489757911628
"200","30","LAYING","tGravityAcc-mean()-Y",0.0512698188974987
"201","2","WALKING","tGravityAcc-mean()-Z",0.134865335090728
"202","4","WALKING","tGravityAcc-mean()-Z",0.193993433768041
"203","4","WALKING_UPSTAIRS","tGravityAcc-mean()-Z",0.117030634772358
"204","9","WALKING_UPSTAIRS","tGravityAcc-mean()-Z",0.104353653032743
"205","10","WALKING_UPSTAIRS","tGravityAcc-mean()-Z",0.1506301434
"206","10","WALKING_DOWNSTAIRS","tGravityAcc-mean()-Z",0.0307366662204145
"207","12","WALKING_DOWNSTAIRS","tGravityAcc-mean()-Z",0.0924517595346237
"208","12","SITTING","tGravityAcc-mean()-Z",-0.0494520137037313
"209","13","SITTING","tGravityAcc-mean()-Z",0.0443010536786238
"210","18","SITTING","tGravityAcc-mean()-Z",0.0783976787
"211","18","STANDING","tGravityAcc-mean()-Z",0.0910314168113772
"212","20","STANDING","tGravityAcc-mean()-Z",0.10679036740404
"213","20","LAYING","tGravityAcc-mean()-Z",0.107789718651859
"214","24","LAYING","tGravityAcc-mean()-Z",0.0623227714146982
"215","1","WALKING","tGravityAcc-mean()-Z",0.072339870389049
"216","3","WALKING","tGravityAcc-mean()-Z",0.0480937904190615
"217","5","WALKING","tGravityAcc-mean()-Z",0.0921607197449905
